fresh_candidate_id,omics_type,direct_detected_status,retention_status,retention_reason,trace_status,filter_rule_id
2_2_dimethyladipic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Deoxycarnitine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Deoxycholate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__DepthorAltitudeMeters,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Dodecanoic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Glucose,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Glutamine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Glycine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Homovanillic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Hypoxanthine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Isobutyric_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Isoleucine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N1_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N1_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N2_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N2_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N3_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N3_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N4_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N4_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.N5_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.UC1_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.UC1_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.UC3_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.UC3_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.UC5_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__LFQ.intensity.UC5_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Lactic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Leucine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Linoleic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Lysine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Methionine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Mol..weight..kDa,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__N-Acetyalanine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__N-Acetylglucosamine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__N-Acetylputrescine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__N-Methylnicotinamide,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__N1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__N2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__N3,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__N4,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__N5,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__Oleic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Palmitic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Pentanoate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Petroselinic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Phenylacetic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Phenylalanine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Pipecolate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Proline,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Propionic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Pyruvate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Score,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__Serine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Stearic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Suberate,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Threonine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Tyrosine,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__UC1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__UC2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__UC3,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__UC4,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__UC5,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__Unique.peptides.N1_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N1_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N2_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N2_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N3_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N3_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N4_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N4_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N5_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.N5_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC1_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC1_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC2_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC2_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC3_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC3_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC4_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC4_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC5_rep1,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__Unique.peptides.UC5_rep2,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolite__metabolite_00002,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__metabolite_00003,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__metabolite_00004,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__metabolite_00006,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__metabolite_00007,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__metabolite_00008,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=partial_source_trace.,partial_trace,FILTER-001
metabolite__p-Hydroxyphenylacetic_acid,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
metabolome::metabolite__cholic_acid-C14:0,metabolome,direct_detected_confirmed_by_microbiome_metabolome_candidate_boundary,retained,Retained in validated 499 direct-detected candidate atlas; trace_status=full_source_trace.,full_trace,FILTER-001
