figure_file,slide_or_panel,original_text,revised_text,issue_type,evidence_level,source_evidence,reviewer_risk_before,reviewer_risk_after,notes
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 3,"Passed full-text screeniing
(n=1206)","Passed full-text screening
(n=1206)",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,SCFAS/butyrate-related,SCFAs/butyrate-related,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,"Loss of SCFAS producers
Early barrier vulnerability","Loss of SCFAs producers
Early barrier vulnerability",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,SCFAS/butyrate-related,SCFAs/butyrate-related,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,Butynic acid,Butyric acid,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,"Partial SCFAS recovery
Reduced bile-acid and oxidative
Stress signature","Partial SCFAs recovery
Reduced bile-acid and oxidative
Stress signature",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,"Oxidative-stress lipid instability
And vile-acid shift with
Incomplete SCFAS recovery","Oxidative-stress lipid instability
And bile-acid shift with
Incomplete SCFAs recovery",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,"Loss of SCFAS producers
And microbial imbalance","Loss of SCFAs producers
And microbial imbalance",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,"Metabolic shifts and
Harmful metavolite accumulation","Metabolic shifts and
Harmful metabolite accumulation",spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,SCFAS deficiency and barrier impairment,SCFAs deficiency and barrier impairment,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,Butynic acid,Butyric acid,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,SCFAS/butyrate module,SCFAs/butyrate module,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_major_revision_package_20260623_102255\04_revised_figures\Figure_JCC_corrected_20260623_102255.pptx,slide 5,SCFAS,SCFAs,spelling/terminology,confirmed by traceable existing audit evidence,D:\Research Materials\IBD Item1 Meta-Model\EMSAv1-Manuscript Drafts\JCC_reviewer_audit_20260623_092049\03_figure_review\figure_text_error_audit.csv,Minor,Low after correction,Correction propagated to copied PPTX only.
