feature_id,feature_name,omics_type,coefficient,intercept,scaling_mean,scaling_sd,model_task,recoverable_status,notes
HILp_QI1332,HILp_QI1332,metabolome,-0.1458024956606849,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C8p_QI28914,C8p_QI28914,metabolome,-0.0849722660746698,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI19479,HILp_QI19479,metabolome,-0.0845267913728698,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI20568,HILn_QI20568,metabolome,-0.0841650692774571,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI13827,C18n_QI13827,metabolome,0.0837274223895398,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI24573,HILp_QI24573,metabolome,0.0833811871425453,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI2242,HILn_QI2242,metabolome,0.0832582702512942,,,,nonIBD vs IBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI1332,HILp_QI1332,metabolome,-0.1596078614769561,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI35,C18n_QI35,metabolome,0.1201702603836413,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI23185,HILp_QI23185,metabolome,-0.1120115704907604,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI6458,HILp_QI6458,metabolome,0.1081541838146797,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10504,C18n_QI10504,metabolome,0.1068470505367871,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_TF15,HILp_TF15,metabolome,0.1055462399395081,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI4049,HILn_QI4049,metabolome,-0.1048923304808628,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI5076,HILn_QI5076,metabolome,-0.1020699751538449,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI22759,HILp_QI22759,metabolome,-0.1015362450174312,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI2238,HILp_QI2238,metabolome,-0.1002676643216094,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI3932,HILp_QI3932,metabolome,-0.0991848585516684,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI33297,HILn_QI33297,metabolome,0.0984074462288151,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI24573,HILp_QI24573,metabolome,0.0973977385357895,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12914,HILp_QI12914,metabolome,-0.0946342506409318,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI11286,HILp_QI11286,metabolome,0.0944516890085847,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI28647,HILn_QI28647,metabolome,-0.0937683442427385,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI19298,HILp_QI19298,metabolome,-0.0924742381236494,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI8817,HILn_QI8817,metabolome,-0.0899603391428228,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10987,C18n_QI10987,metabolome,0.0888356077564274,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI2948,HILn_QI2948,metabolome,-0.0881374869888632,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C8p_QI27327,C8p_QI27327,metabolome,0.0872341596319438,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI23899,HILp_QI23899,metabolome,0.0869277244171434,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12234,HILp_QI12234,metabolome,0.0863006658368165,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI3392,HILn_QI3392,metabolome,-0.0861785367227261,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI4795,HILn_QI4795,metabolome,0.0855392254439956,,,,CD vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12815,HILp_QI12815,metabolome,0.1469101365785034,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10930,C18n_QI10930,metabolome,0.1282845661922735,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10504,C18n_QI10504,metabolome,0.1185463577216083,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI15737,HILp_QI15737,metabolome,0.1170304572494385,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI1325,C18n_QI1325,metabolome,0.1168891665146695,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI709,C18n_QI709,metabolome,0.1165727442767399,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI35,C18n_QI35,metabolome,0.1123498515738459,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI10987,C18n_QI10987,metabolome,0.1116736580759653,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI2874,HILp_QI2874,metabolome,0.1047932887696015,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI2095,HILp_QI2095,metabolome,0.104709734112565,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI1594,HILn_QI1594,metabolome,0.1044555111125639,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI2242,HILn_QI2242,metabolome,0.1014499839666112,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI1326,C18n_QI1326,metabolome,0.1006712946322181,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI3816,HILp_QI3816,metabolome,0.096215321007646,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI8712,HILp_QI8712,metabolome,0.09459874373313,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI2044,HILp_QI2044,metabolome,0.093158224339054,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C8p_QI12386,C8p_QI12386,metabolome,-0.0919868547283226,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI30845,HILn_QI30845,metabolome,0.0919414730016177,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI13176,HILp_QI13176,metabolome,-0.0917863724203214,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C18n_QI3871,C18n_QI3871,metabolome,0.0912730592998343,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI6036,HILp_QI6036,metabolome,0.090293950669769,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI1233,HILp_QI1233,metabolome,0.08897912412608,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12047,HILp_QI12047,metabolome,0.0887919844908648,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_TF16,HILp_TF16,metabolome,0.0822304334322059,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI3932,HILp_QI3932,metabolome,-0.081031888049139,,,,UC vs nonIBD,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12537,HILp_QI12537,metabolome,-0.1573454740020047,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI1332,HILp_QI1332,metabolome,0.125302444924495,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI13573,HILp_QI13573,metabolome,0.1241229005096145,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI7038,HILp_QI7038,metabolome,0.1218415497436125,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_TF11,HILp_TF11,metabolome,0.1159596736363463,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI12234,HILp_QI12234,metabolome,-0.112107627144655,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI21924,HILp_QI21924,metabolome,0.1092521809494427,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI13223,HILn_QI13223,metabolome,-0.1083154102441295,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI19277,HILp_QI19277,metabolome,0.1069092142874913,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C8p_QI12386,C8p_QI12386,metabolome,-0.1051524013899268,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI18781,HILp_QI18781,metabolome,0.1045806515277072,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
C8p_QI14379,C8p_QI14379,metabolome,0.1029626900906011,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI24491,HILp_QI24491,metabolome,-0.1027147827443791,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI30845,HILn_QI30845,metabolome,0.1025600308154784,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI22007,HILp_QI22007,metabolome,0.1023169039392106,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILn_QI28647,HILn_QI28647,metabolome,0.1004414102028398,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI23185,HILp_QI23185,metabolome,0.098972009839838,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI20373,HILp_QI20373,metabolome,0.0987682736292475,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI23183,HILp_QI23183,metabolome,0.098664249781818,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI19298,HILp_QI19298,metabolome,0.0985255437248657,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI21566,HILp_QI21566,metabolome,-0.0974459554831529,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI21942,HILp_QI21942,metabolome,0.0960952196592656,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI1048,HILp_QI1048,metabolome,0.0956748983079456,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI9715,HILp_QI9715,metabolome,0.0945091849827009,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
HILp_QI16417,HILp_QI16417,metabolome,0.0921537501219229,,,,CD vs UC,interpretation_proxy_only_not_strict_scoring,Exploratory coefficients/loadings proxy; not a locked scoring model coefficient set.; intercept_missing; scaling_parameters_missing
