task,locked_feature_id,locked_feature_name,unmatched_reason,identifier_available_in_locked_model,identifier_available_in_st001000,candidate_st001000_features_checked,manual_review_needed,notes
nonIBD vs IBD,C18n_QI13827,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILp_QI24573,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
nonIBD vs IBD,HILn_QI2242,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI1332,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,C18n_QI35,arachidonate,feature_absent_in_ST001000,feature_id;name;HMDB;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI23185,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI6458,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI4049,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI5076,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI22759,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI2238,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI3932,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI33297,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI24573,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI11286,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI28647,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI19298,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI8817,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,C18n_QI10987,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI2948,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI23899,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILp_QI12234,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs nonIBD,HILn_QI4795,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI12815,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,C18n_QI1325,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,C18n_QI709,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,C18n_QI35,arachidonate,feature_absent_in_ST001000,feature_id;name;HMDB;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,C18n_QI10987,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI2874,gabapentin,feature_absent_in_ST001000,feature_id;name;HMDB;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI2095,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILn_QI1594,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILn_QI2242,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,C18n_QI1326,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,C8p_QI12386,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2316,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILn_QI30845,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,C18n_QI3871,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2121,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI6036,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI12047,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_TF16,nicotinuric acid,feature_absent_in_ST001000,feature_id;name;HMDB;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
UC vs nonIBD,HILp_QI3932,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI12537,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI1332,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI13573,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI7038,atenolol,feature_absent_in_ST001000,feature_id;name;HMDB;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI12234,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI21924,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILn_QI13223,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI19277,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,C8p_QI12386,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2316,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI18781,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,C8p_QI14379,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2316,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI24491,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILn_QI30845,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI22007,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILn_QI28647,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,1754,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI23185,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI20373,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI23183,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI19298,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI21566,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI21942,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI1048,metformin,feature_absent_in_ST001000,feature_id;name;HMDB;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
CD vs UC,HILp_QI9715,,feature_absent_in_ST001000,feature_id;mz;RT,feature_id/name/mz/RT; no local HMDB/KEGG/adduct columns,2269,no,"No same-platform candidate within mz_tolerance=max(10.0 ppm,0.01 Da) and rt_tolerance=0.3 min."
